supplier_name,model,name,description,category,sub_category,btu,image_url,price_no_vat,tipe_item,id,created_date,updated_date,created_by_id,created_by,is_sample
"אלקטרה","בורר זרימה יציאה 1 VRF - MS01/N1-D","אלקטרה - בורר זרימה יציאה 1 VRF - MS01/N1-D","","אביזרי צנרת","בוררי זרימה ל HR -דגמים חדשים","","","12210","","68da4f7942eb394eefb9c2c6","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","פיקוד מרכזי דור 2 -מסך מגע/ 64 מאיידים - ELVICCI-180A/WS","אלקטרה - פיקוד מרכזי דור 2 -מסך מגע/ 64 מאיידים - ELVICCI-180A/WS","","אביזרי בקרה","יחידות פיקוד ובקרה","","","5520","","68da4f7942eb394eefb9c2e6","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","מתאם תקשורת לבקר מרכזי- rooftop  - NIM01/E1","אלקטרה - מתאם תקשורת לבקר מרכזי- rooftop  - NIM01/E1","","אביזרי בקרה","יחידות פיקוד ובקרה","","","281","","68da4f7942eb394eefb9c2e9","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","גריל סלוט (חישוב לפי יחידה)","אלקטרה - גריל סלוט (חישוב לפי יחידה)","","חומרים ואביזרי מיזוג פנימי לארגמן","גרילים ומתאמים","","","1","","68da4f7942eb394eefb9c2ec","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","מפצלים למאידים HR לאינדקס עד 150   - FQZHN-01SB1","אלקטרה - מפצלים למאידים HR לאינדקס עד 150   - FQZHN-01SB1","","אביזרי צנרת","מפצלים למאיידי HP/HR","","","700","","68da4f7942eb394eefb9c2be","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","פיקוד ליט""א  VRF לתפוקה עד 56KW  דור 3 - ELVCA-KZ/03D","אלקטרה - פיקוד ליט""א  VRF לתפוקה עד 56KW  דור 3 - ELVCA-KZ/03D","","אביזרי בקרה","יחידות פיקוד ובקרה","","","3290","","68da4f7942eb394eefb9c2dc","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","פיקוד טיימר שבועי VRF - ELVCCI-09","אלקטרה - פיקוד טיימר שבועי VRF - ELVCCI-09","","אביזרי בקרה","יחידות פיקוד ובקרה","","","1240","","68da4f7942eb394eefb9c2df","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","בורר זרימה 4 יציאות VRF - MS04/N1-D","אלקטרה - בורר זרימה 4 יציאות VRF - MS04/N1-D","","אביזרי צנרת","בוררי זרימה ל HR -דגמים חדשים","","","23730","","68da4f7942eb394eefb9c2c7","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","אביזרי חיבור  למעבים HR - דגמים חדשים - ELVRHRO4","אלקטרה - אביזרי חיבור  למעבים HR - דגמים חדשים - ELVRHRO4","","אביזרי צנרת","אביזרי חיבור למעבים","","","3110","","68da4f7942eb394eefb9c2d1","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","יח' פיקוד אלחוטית VRF  דור 2 - ELVCR-RM05B","אלקטרה - יח' פיקוד אלחוטית VRF  דור 2 - ELVCR-RM05B","","אביזרי בקרה","שלט רחוק","","","260","","68da4f7942eb394eefb9c2d5","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","גריל הזמנה מיוחדת (חישוב לפי יחידה)","אלקטרה - גריל הזמנה מיוחדת (חישוב לפי יחידה)","","חומרים ואביזרי מיזוג פנימי לארגמן","גרילים ומתאמים","","","300","","68da4f7942eb394eefb9c2eb","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","פיקוד ליטא 3 VRF - ELVCA-KZ/03B","אלקטרה - פיקוד ליטא 3 VRF - ELVCA-KZ/03B","","אביזרי בקרה","יחידות פיקוד ובקרה","","","2840","","68da4f7942eb394eefb9c2db","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","תוכנה לפיקוד מרכזי מסחרי כולל  מונה אנרגיה - ELVCCI-IMMPS/PRO","אלקטרה - תוכנה לפיקוד מרכזי מסחרי כולל  מונה אנרגיה - ELVCCI-IMMPS/PRO","","אביזרי בקרה","יחידות פיקוד ובקרה","","","13468","","68da4f7942eb394eefb9c2e1","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","אביזרי חיבור  למעבים HR - דגמים חדשים - FQZHW-03SB1","אלקטרה - אביזרי חיבור  למעבים HR - דגמים חדשים - FQZHW-03SB1","","אביזרי צנרת","אביזרי חיבור למעבים","","","3200","","68da4f7942eb394eefb9c2d0","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","חנוכיה - ELVMHPIQT8-140/600","אלקטרה - חנוכיה - ELVMHPIQT8-140/600","","אביזרי צנרת","חנוכיות","","","1490","","68da4f7942eb394eefb9c2d3","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","פיקוד ליט א  VRF לתפוקה עד 28KW דור 3 - ELVCA-KZ/02D","אלקטרה - פיקוד ליט א  VRF לתפוקה עד 28KW דור 3 - ELVCA-KZ/02D","","אביזרי בקרה","יחידות פיקוד ובקרה","","","2380","","68da4f7942eb394eefb9c2da","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","מתאם פח / פלסטיק (חישוב לפי יחידה)","אלקטרה - מתאם פח / פלסטיק (חישוב לפי יחידה)","","חומרים ואביזרי מיזוג פנימי לארגמן","גרילים ומתאמים","","","100","","68da4f7942eb394eefb9c2ee","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","יחידת פיקוד VRF קווית מוארת וטאצ' ROOFTOP - ELRTC-29B","אלקטרה - יחידת פיקוד VRF קווית מוארת וטאצ' ROOFTOP - ELRTC-29B","","אביזרי בקרה","יחידות פיקוד ובקרה","","","570","","68da4f7942eb394eefb9c2d7","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","שרשור לפרויקט (חישוב לפי מטר)","אלקטרה - שרשור לפרויקט (חישוב לפי מטר)","","חומרים ואביזרי מיזוג פנימי לארגמן","שרשורים","","","150","","68da4f7942eb394eefb9c2f0","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","שלט רחוק- דור 2 -עם I Feel - ELVCR-RM12F","אלקטרה - שלט רחוק- דור 2 -עם I Feel - ELVCR-RM12F","","אביזרי בקרה","שלט רחוק","","","220","","68da4f7942eb394eefb9c2d6","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","בורר זרימה 12 יציאות VRF - MS012/N1-D","אלקטרה - בורר זרימה 12 יציאות VRF - MS012/N1-D","","אביזרי צנרת","בוררי זרימה ל HR -דגמים חדשים","","","55130","","68da4f7942eb394eefb9c2cb","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","מחבר 3 מעבים HP - ELVRHPO3","אלקטרה - מחבר 3 מעבים HP - ELVRHPO3","","אביזרי צנרת","אביזרי חיבור למעבים","","","1510","","68da4f7942eb394eefb9c2cd","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","פיקוד חוטי דור 2-דו כיווני/מואר/קוד תקלה/טמפ' חדר - ELVCW-86E/KD","אלקטרה - פיקוד חוטי דור 2-דו כיווני/מואר/קוד תקלה/טמפ' חדר - ELVCW-86E/KD","","אביזרי בקרה","יחידות פיקוד ובקרה","","","650","","68da4f7942eb394eefb9c2e5","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","בורר זרימה 10 יציאות VRF - MS010/N1-D","אלקטרה - בורר זרימה 10 יציאות VRF - MS010/N1-D","","אביזרי צנרת","בוררי זרימה ל HR -דגמים חדשים","","","48560","","68da4f7942eb394eefb9c2ca","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","מחבר 4 מעבים HP - ELVRHPO4","אלקטרה - מחבר 4 מעבים HP - ELVRHPO4","","אביזרי צנרת","אביזרי חיבור למעבים","","","2210","","68da4f7942eb394eefb9c2ce","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","פיקוד חוטי ליחידת HRV (אוויר/ אוויר) - ELVCW-27B","אלקטרה - פיקוד חוטי ליחידת HRV (אוויר/ אוויר) - ELVCW-27B","","אביזרי בקרה","יחידות פיקוד ובקרה","","","390","","68da4f7942eb394eefb9c2e3","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","בורר זרימה 8 יציאות VRF - MS08/N1-D","אלקטרה - בורר זרימה 8 יציאות VRF - MS08/N1-D","","אביזרי צנרת","בוררי זרימה ל HR -דגמים חדשים","","","39380","","68da4f7942eb394eefb9c2c9","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","בקר קירי דור 1 VRF קווי HP מוארת וטאצ' - ELVCW-29B","אלקטרה - בקר קירי דור 1 VRF קווי HP מוארת וטאצ' - ELVCW-29B","","אביזרי בקרה","יחידות פיקוד ובקרה","","","600","","68da4f7942eb394eefb9c2e4","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","ציפוי אנטי קורזיבי","אלקטרה - ציפוי אנטי קורזיבי","","אביזרי צנרת","ציפוי","","","3000","","68da4f7942eb394eefb9c2d4","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","פיקוד ליט א 1 VRF דור 2 לתפוקה עד 14KW - ELVCA-KZ/01D","אלקטרה - פיקוד ליט א 1 VRF דור 2 לתפוקה עד 14KW - ELVCA-KZ/01D","","אביזרי בקרה","יחידות פיקוד ובקרה","","","2190","","68da4f7942eb394eefb9c2d8","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","פיקוד ON/OFF  ל 16 מאיידים - ELVCCI-90B","אלקטרה - פיקוד ON/OFF  ל 16 מאיידים - ELVCCI-90B","","אביזרי בקרה","יחידות פיקוד ובקרה","","","600","","68da4f7942eb394eefb9c2e0","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","מקטין קוטר למפצל 800 - A03031","אלקטרה - מקטין קוטר למפצל 800 - A03031","","אביזרי צנרת","מפצלים למאיידי HP/HR","","","152","","68da4f7942eb394eefb9c2bd","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","מפצלים למאידים HR לאינדקס עד 550  - FQZHN-03SB1","אלקטרה - מפצלים למאידים HR לאינדקס עד 550  - FQZHN-03SB1","","אביזרי צנרת","מפצלים למאיידי HP/HR","","","1300","","68da4f7942eb394eefb9c2c0","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","מפצלים למאידים HR לאינדקס עד 800   - FQZHN-04SB1","אלקטרה - מפצלים למאידים HR לאינדקס עד 800   - FQZHN-04SB1","","אביזרי צנרת","מפצלים למאיידי HP/HR","","","2000","","68da4f7942eb394eefb9c2c1","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","מפצל לשסתום התפשטות 04 - FQZHD-04","אלקטרה - מפצל לשסתום התפשטות 04 - FQZHD-04","","אביזרי צנרת","מפצלים לשסתום התפשטות","","","620","","68da4f7942eb394eefb9c2c5","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","בורר זרימה 6 יציאות VRF - MS06/N1-D","אלקטרה - בורר זרימה 6 יציאות VRF - MS06/N1-D","","אביזרי צנרת","בוררי זרימה ל HR -דגמים חדשים","","","31500","","68da4f7942eb394eefb9c2c8","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","גריל אלומיניום/פח – מדף (חישוב לפי מטר)","אלקטרה - גריל אלומיניום/פח – מדף (חישוב לפי מטר)","","חומרים ואביזרי מיזוג פנימי לארגמן","גרילים ומתאמים","","","150","","68da4f7942eb394eefb9c2ea","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","מפצלים למאידים HR לאינדקס עד 300   - FQZHN-02SB1","אלקטרה - מפצלים למאידים HR לאינדקס עד 300   - FQZHN-02SB1","","אביזרי צנרת","מפצלים למאיידי HP/HR","","","900","","68da4f7942eb394eefb9c2bf","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","מפצל לשסתום התפשטות 01 - FQZHD-01","אלקטרה - מפצל לשסתום התפשטות 01 - FQZHD-01","","אביזרי צנרת","מפצלים לשסתום התפשטות","","","200","","68da4f7942eb394eefb9c2c3","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","מחבר 2 מעבים HP - ELVRHPO2","אלקטרה - מחבר 2 מעבים HP - ELVRHPO2","","אביזרי צנרת","אביזרי חיבור למעבים","","","750","","68da4f7942eb394eefb9c2cc","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","אביזרי חיבור  למעבים HR - דגמים חדשים - FQZHW-02SB1","אלקטרה - אביזרי חיבור  למעבים HR - דגמים חדשים - FQZHW-02SB1","","אביזרי צנרת","אביזרי חיבור למעבים","","","1800","","68da4f7942eb394eefb9c2cf","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","מתאם תקשורת אינטרנטי VRF - ELVCCI-015-A","אלקטרה - מתאם תקשורת אינטרנטי VRF - ELVCCI-015-A","","אביזרי בקרה","יחידות פיקוד ובקרה","","","2460","","68da4f7942eb394eefb9c2de","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","צנרת נחושת VRP קו ראשי עד 7/8  (חישוב לפי מטר)","אלקטרה - צנרת נחושת VRP קו ראשי עד 7/8  (חישוב לפי מטר)","","חומרים ואביזרי מיזוג פנימי לארגמן","צנרות","","","200","","68da4f7942eb394eefb9c2f2","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","צנרת נחושת VRP קו ראשי צול ושמינית  (חישוב לפי מטר)","אלקטרה - צנרת נחושת VRP קו ראשי צול ושמינית  (חישוב לפי מטר)","","חומרים ואביזרי מיזוג פנימי לארגמן","צנרות","","","280","","68da4f7942eb394eefb9c2f3","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","מפוח – אוורור  (חישוב לפי יחידה)","אלקטרה - מפוח – אוורור  (חישוב לפי יחידה)","","חומרים ואביזרי מיזוג פנימי לארגמן","מפוחים","","","1","","68da4f7942eb394eefb9c2f7","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","צנרת נחושת VRP קו משני (חישוב לפי מטר)","אלקטרה - צנרת נחושת VRP קו משני (חישוב לפי מטר)","","חומרים ואביזרי מיזוג פנימי לארגמן","צנרות","","","90","","68da4f7942eb394eefb9c2f1","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","יום עבודה (9 שעות, 2 טכנאים)","אלקטרה - יום עבודה (9 שעות, 2 טכנאים)","","חומרים ואביזרי מיזוג פנימי לארגמן","יום עבודה","","","3500","","68da4f7942eb394eefb9c2fa","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","צנרת נחושת רגיל  (חישוב לפי מטר)","אלקטרה - צנרת נחושת רגיל  (חישוב לפי מטר)","","חומרים ואביזרי מיזוג פנימי לארגמן","צנרות","","","80","","68da4f7942eb394eefb9c2f4","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","מפוח – יניקה  (חישוב לפי יחידה)","אלקטרה - מפוח – יניקה  (חישוב לפי יחידה)","","חומרים ואביזרי מיזוג פנימי לארגמן","מפוחים","","","1","","68da4f7942eb394eefb9c2f9","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","מפוח – פינוי עשן  (חישוב לפי יחידה)","אלקטרה - מפוח – פינוי עשן  (חישוב לפי יחידה)","","חומרים ואביזרי מיזוג פנימי לארגמן","מפוחים","","","1","","68da4f7942eb394eefb9c2f8","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","צנרת נחושת 4-6 כ""ס  (חישוב לפי מטר)","אלקטרה - צנרת נחושת 4-6 כ""ס  (חישוב לפי מטר)","","חומרים ואביזרי מיזוג פנימי לארגמן","צנרות","","","200","","68da4f7942eb394eefb9c2f6","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","צנרת נחושת 2.5-4 כ""ס  (חישוב לפי מטר)","אלקטרה - צנרת נחושת 2.5-4 כ""ס  (חישוב לפי מטר)","","חומרים ואביזרי מיזוג פנימי לארגמן","צנרות","","","150","","68da4f7942eb394eefb9c2f5","2025-09-29T09:20:57.462000","2025-09-29T09:20:57.462000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","מאייד מתועל ל.ב - ELVIDSMDA-40","אלקטרה - מאייד מתועל ל.ב - ELVIDSMDA-40","","יחידות פנים","מאיידים נסתרים לחץ בנוני דור 2","15400","","3890","מאייד","68da4f7942eb394eefb9c258","2025-09-29T09:20:57.461000","2025-09-29T09:20:57.461000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","מאייד מתועל ל.ב - ELVIDSMDA-50","אלקטרה - מאייד מתועל ל.ב - ELVIDSMDA-50","","יחידות פנים","מאיידים נסתרים לחץ בנוני דור 2","19100","","4060","מאייד","68da4f7942eb394eefb9c259","2025-09-29T09:20:57.461000","2025-09-29T09:20:57.461000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","מאיידים עילי - ELVIHWM9D-71","אלקטרה - מאיידים עילי - ELVIHWM9D-71","","יחידות פנים","מאיידים עיליים דור 2","27300","","2950","מאייד","68da4f7942eb394eefb9c251","2025-09-29T09:20:57.461000","2025-09-29T09:20:57.461000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","מאייד זריקה ישירה ל.נ תומך HYPER-LINK - E-SLD-50","אלקטרה - מאייד זריקה ישירה ל.נ תומך HYPER-LINK - E-SLD-50","","יחידות פנים","מאיידים נסתרים לחץ נמוך דור 3","19110","","3490","מאייד","68da4f7942eb394eefb9c256","2025-09-29T09:20:57.461000","2025-09-29T09:20:57.461000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","מאיידים עילי - ELVIHWM9D-40","אלקטרה - מאיידים עילי - ELVIHWM9D-40","","יחידות פנים","מאיידים עיליים דור 2","15400","","2550","מאייד","68da4f7942eb394eefb9c24e","2025-09-29T09:20:57.461000","2025-09-29T09:20:57.461000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","מאייד מתועל ל.ב - ELVIDSMDA-125","אלקטרה - מאייד מתועל ל.ב - ELVIDSMDA-125","","יחידות פנים","מאיידים נסתרים לחץ בנוני דור 2","47800","","5540","מאייד","68da4f7942eb394eefb9c25c","2025-09-29T09:20:57.461000","2025-09-29T09:20:57.461000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","מאייד מתועל ל.ב - ELVIDSMDA-140","אלקטרה - מאייד מתועל ל.ב - ELVIDSMDA-140","","יחידות פנים","מאיידים נסתרים לחץ בנוני דור 2","54000","","6180","מאייד","68da4f7942eb394eefb9c25d","2025-09-29T09:20:57.461000","2025-09-29T09:20:57.461000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","מאייד מתועל ל.ב תומך HYPER-LINK - E-SMD-40","אלקטרה - מאייד מתועל ל.ב תומך HYPER-LINK - E-SMD-40","","יחידות פנים","מאיידים נסתרים לחץ בנוני דור 3","15400","","3550","מאייד","68da4f7942eb394eefb9c25e","2025-09-29T09:20:57.461000","2025-09-29T09:20:57.461000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
"אלקטרה","מאיידים עילי - ELVIHWM9D-80","אלקטרה - מאיידים עילי - ELVIHWM9D-80","","יחידות פנים","מאיידים עיליים דור 2","30700","","3300","מאייד","68da4f7942eb394eefb9c252","2025-09-29T09:20:57.461000","2025-09-29T09:20:57.461000","68b3dec209adbcb52b0ebf8b","talya@talyaosher.com","false"
